Date,HomeTeam,AwayTeam,AvgBH,AvgBD,AvgBA,FTRn,FTR
9,Fulham,Arsenal,6.109999999999999,4.2316666666666665,1.5516666666666667,-3,A
9,Crystal Palace,Southampton,3.1616666666666666,3.1816666666666666,2.395,1,H
9,Liverpool,Leeds,1.2950000000000002,5.875,9.82,1,H
9,West Ham,Newcastle,2.155,3.4099999999999997,3.4499999999999997,-2,A
9,West Brom,Leicester,3.858333333333333,3.515,1.9749999999999999,-3,A
9,Tottenham,Everton,1.8866666666666667,3.5033333333333334,4.286666666666666,-1,A
9,Brighton,Chelsea,5.1433333333333335,4.0616666666666665,1.6466666666666667,-2,A
9,Sheffield United,Wolves,3.3516666666666666,3.0050000000000003,2.39,-2,A
9,Everton,West Brom,1.5283333333333333,4.1883333333333335,6.41,3,H
9,Leeds,Fulham,1.6300000000000001,3.908333333333333,5.6433333333333335,1,H
9,Man United,Crystal Palace,1.3183333333333334,5.396666666666666,9.591666666666667,-2,A
9,Arsenal,West Ham,1.5366666666666668,4.39,5.890000000000001,1,H
9,Southampton,Tottenham,3.0833333333333335,3.2816666666666667,2.385,-3,A
9,Newcastle,Brighton,2.6649999999999996,3.1033333333333335,2.8350000000000004,-3,A
9,Chelsea,Liverpool,3.15,3.658333333333333,2.1900000000000004,-2,A
9,Leicester,Burnley,1.615,3.9383333333333326,5.765000000000001,2,H
9,Aston Villa,Sheffield United,2.7116666666666664,3.1333333333333333,2.7466666666666666,1,H
9,Wolves,Man City,6.336666666666666,4.285,1.5233333333333334,-2,A
9,Brighton,Man United,4.891666666666667,3.7116666666666664,1.741666666666667,-1,A
9,Crystal Palace,Everton,3.7283333333333335,3.265,2.111666666666667,-1,A
9,West Brom,Chelsea,8.591666666666667,4.846666666666667,1.3816666666666666,0,D
9,Burnley,Southampton,3.276666666666667,3.2266666666666666,2.31,-1,A
9,Sheffield United,Leeds,2.7383333333333333,3.3249999999999997,2.611666666666667,-1,A
9,Tottenham,Newcastle,1.4716666666666667,4.433333333333334,7.146666666666666,0,D
9,Man City,Leicester,1.2916666666666665,5.915,9.765,-3,A
9,West Ham,Wolves,3.7449999999999997,3.358333333333333,2.083333333333333,4,H
9,Fulham,Aston Villa,2.91,3.2283333333333335,2.5233333333333334,-3,A
9,Liverpool,Arsenal,1.4783333333333333,4.6433333333333335,6.296666666666667,2,H
10,Chelsea,Crystal Palace,1.4233333333333331,4.701666666666667,7.673333333333333,4,H
10,Everton,Brighton,1.7433333333333334,3.72,4.903333333333333,2,H
10,Leeds,Man City,7.496666666666667,5.218333333333333,1.3783333333333332,0,D
10,Newcastle,Burnley,2.4516666666666667,3.1133333333333333,3.111666666666667,2,H
10,Leicester,West Ham,1.6733333333333336,4.06,4.931666666666667,-3,A
10,Southampton,West Brom,1.745,3.8016666666666663,4.676666666666667,2,H
10,Arsenal,Sheffield United,1.5633333333333335,4.011666666666667,6.330000000000001,1,H
10,Wolves,Fulham,1.51,3.983333333333333,7.396666666666666,1,H
10,Man United,Tottenham,1.9083333333333332,3.6683333333333334,3.9899999999999998,-5,A
10,Aston Villa,Liverpool,9.508333333333333,5.358333333333333,1.3183333333333334,5,H
10,Everton,Liverpool,3.873333333333333,4.033333333333333,1.8433333333333337,0,D
10,Chelsea,Southampton,1.5183333333333333,4.485,6.065,0,D
10,Man City,Arsenal,1.4833333333333332,4.7700000000000005,6.101666666666667,1,H
10,Newcastle,Man United,4.803333333333334,4.005,1.6916666666666664,-3,A
10,Sheffield United,Fulham,2.1,3.283333333333333,3.765,0,D
10,Crystal Palace,Brighton,2.6533333333333338,3.2199999999999993,2.763333333333333,0,D
10,Tottenham,West Ham,1.6049999999999998,4.156666666666667,5.396666666666666,0,D
10,Leicester,Aston Villa,1.87,3.7816666666666667,4.008333333333333,-1,A
10,West Brom,Burnley,2.473333333333333,3.2533333333333334,2.975,0,D
10,Leeds,Wolves,2.5,3.2183333333333337,2.965,-1,A
10,Aston Villa,Leeds,2.105,3.6799999999999997,3.315,-3,A
10,West Ham,Man City,7.376666666666666,5.058333333333334,1.4016666666666666,0,D
10,Fulham,Crystal Palace,2.7416666666666667,3.1149999999999998,2.768333333333333,-1,A
10,Man United,Chelsea,2.3866666666666667,3.566666666666667,2.875,0,D
10,Liverpool,Sheffield United,1.2483333333333333,6.234999999999999,12.076666666666668,1,H
10,Southampton,Everton,2.7733333333333334,3.438333333333333,2.53,2,H
10,Wolves,Newcastle,1.765,3.481666666666667,5.246666666666667,0,D
10,Arsenal,Leicester,1.9216666666666666,3.7133333333333334,3.8849999999999993,-1,A
10,Brighton,West Brom,1.7433333333333334,3.8633333333333333,4.658333333333333,0,D
10,Burnley,Tottenham,5.696666666666666,3.9499999999999997,1.6216666666666668,-1,A
10,Wolves,Crystal Palace,2.0533333333333332,3.1350000000000002,4.236666666666666,2,H
10,Sheffield United,Man City,9.508333333333333,5.6933333333333325,1.3083333333333333,-1,A
10,Burnley,Chelsea,6.136666666666667,4.358333333333333,1.5266666666666666,-3,A
10,Liverpool,West Ham,1.3816666666666668,5.178333333333334,7.546666666666667,1,H
11,Aston Villa,Southampton,2.455,3.5450000000000004,2.7933333333333334,-1,A
11,Newcastle,Everton,3.67,3.4266666666666663,2.065,1,H
11,Man United,Arsenal,2.033333333333333,3.6216666666666666,3.596666666666667,-1,A
11,Tottenham,Brighton,1.6300000000000001,4.101666666666667,5.256666666666667,1,H
11,Fulham,West Brom,2.4283333333333332,3.275,3.0216666666666665,2,H
11,Leeds,Leicester,2.57,3.525,2.6733333333333333,-3,A
